,,,,,,,"zone,ambient, triggered",,,,track description,,,lyrics or text...,,,,,Coordinate,,timed? (daily cycle),if timed: when?,
ID,vol,track,identifier,Track Name,Track,valley,audio type,,images,videos,General Desc.,Instrument Desc.,Musicians Desc.,lyric-original,lyric-translit.,lyric-translation,alt. track,placemark,Latitude,Longitude,,,one line description
1,1,3,Vol01-Tr03,Kuidum Chok,https://islamicgarden.ualberta.ca/flask/assets/Vol01-Tr03.ogg,1,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Performer.png , https://islamicgarden.ualberta.ca/flask/assets/Instrument-Komuz.png",https://islamicgarden.ualberta.ca/flask/assets/Disk01-Excerpt01.mp4,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription1-3.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription1-3.txt,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio1-3.txt,,https://islamicgarden.ualberta.ca/flask/assets/LyricsTransliteration1-3.txt,https://drive.google.com/open?id=1JxyOWxawJDP09dP6e3rlx2yB5Ty6cY8x,mp3 version!,Rutherford-FrontDoor,,,,,"KUIDUM CHOK (I Burn, I Smoulder like Charcoal); Composero Atai Ogonbaev (1900-1949); Text: Atai Ogonbaev; Performer: Zainidin lmanaliev, vocal, komuz"
2,4,2,Vol04-Tr02,"Galmadi, Galmadi",https://islamicgarden.ualberta.ca/flask/assets/Vol04-Tr02.ogg,1,triggered,,https://islamicgarden.ualberta.ca/flask/assets/Band-performers.jpg,https://islamicgarden.ualberta.ca/flask/assets/video-excerpt.mp4,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription4-2.txt,,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio4-2.txt,,,https://drive.google.com/open?id=1MqGRkr_Gu-QZvbD2h4qeqTlfOJS3ovoF,mp3 version!,Boyan,,,,,"Galmadi, Galmadi (He didn’t come); Text and music: unattributed; Dilbar Bekturdieva, garmon, dayra, qayraq, vocal; Komila Mattieva, tar and vocal; Gozal Muminova, dayra."
3,1,11,Vol01-Tr11,Gul,https://islamicgarden.ualberta.ca/flask/assets/Vol01-Tr11.ogg,2,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Picture-3.png , https://islamicgarden.ualberta.ca/flask/assets/Picture-4.png",https://drive.google.com/open?id=1Ete_3XedqReaZdN8qj1q7Y3ulINw_o4O,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription1-11.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription1-11.txt,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio1-11.txt,,https://islamicgarden.ualberta.ca/flask/assets/LyricsTransliteration1-11.txt,https://drive.google.com/open?id=1fa5JDX5BLZNckrKYP7NCzniRDfzXq3-9,mp3 version!,Pond-MiddleofQuad,,,,,GuL (Flower); Music and text: Atai Ogonbaev; Performer: Zainidin lmanaliev
4,4,17,Vol04-Tr17,Noleydi,https://islamicgarden.ualberta.ca/flask/assets/Vol04-Tr17.ogg,2,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Performer01.jpg , https://islamicgarden.ualberta.ca/flask/assets/performer02.png",https://drive.google.com/open?id=1MQ3iCWambYA1HHweeJglyJWeUJ7enWh8,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription4-17.txt,,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio4-17.txt,,,https://drive.google.com/open?id=1mQ27WtSBftb58D3MA5dgRSTt0ro81FCH,mp3 version!,Boyan,,,,,"Noleydi (What if); Text: unattributed folksong, Ghazal by Seyyid Ezim Shirvani (1835–1888); Music: unattributed; Fargana Qasimova, vocal; accompanied by Rafael Asgarov, balaban; Rauf Islamov, kamancha; Ali Asgar Mammadov, tar; Natiq Shirinov, percussion"
5,5,2,Vol05-Tr02,Ay Pari,https://islamicgarden.ualberta.ca/flask/assets/Vol05-Tr02.ogg,3,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Badakhshan-Ensemble.png , https://islamicgarden.ualberta.ca/flask/assets/Singer-and-Dancer.png",https://islamicgarden.ualberta.ca/flask/assets/Disk05-Excerpt01.mp4,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription5-2.txt,,,,,https://drive.google.com/open?id=1jpBy8ADyeY28KbWYV8rIoI2oBXhOHj7A,mp3 version!,BusinessBuilding-FrontDoor,,,,,Ay Pari (Oh Fairy); Text: Qadiri; Music: Author unknown
6,6,2,Vol06-Tr02-2,Maye,https://islamicgarden.ualberta.ca/flask/assets/Vol06-Tr02-2.ogg,3,triggered,,"https://drive.google.com/open?id=0B50GceJl2w8MTU5vRU9UZEZJX0E, https://drive.google.com/open?id=0B50GceJl2w8MdWJPc1lMTUI1elE, https://drive.google.com/open?id=0B50GceJl2w8MMXc4dkh2QUdGOFE",https://drive.google.com/open?id=1RxGGcv8xPvgYf-mMzWNbiYxBKEZa8exw,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription6-2.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription6-2.txt,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio6-2.txt,,,,mp3 version!,Boyan,,,,,Maye - Maye is a generic compositional form that establishes the modal character of a mugham.
7,6,2,Vol06-Tr02-1,Maye,https://islamicgarden.ualberta.ca/flask/assets/Vol06-Tr02-1.ogg,3,triggered,,"https://drive.google.com/open?id=0B50GceJl2w8MTU5vRU9UZEZJX0E, https://drive.google.com/open?id=0B50GceJl2w8MdWJPc1lMTUI1elE, https://drive.google.com/open?id=0B50GceJl2w8MMXc4dkh2QUdGOFE",,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription6-2.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription6-2.txt,https://islamicgarden.ualberta.ca/flask/assets/MusiciansBio6-2.txt,,,,mp3 version!,Boyan,,,,,Maye - Maye is a generic compositional form that establishes the modal character of a mugham.
8,1,8,Vol01-Tr08,Attila Khan,https://islamicgarden.ualberta.ca/flask/assets/Vol01-Tr08.ogg,4,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Komuz-playing-style.png ,  https://islamicgarden.ualberta.ca/flask/assets/Komuz-Performer.png",https://drive.google.com/open?id=1LVro9tMIQsy9E2DnvndEH5nJ51edg8At,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription1-8.txt,,,,,,mp3 version!,NorthEast-Quad,,,,,"ATTILA KHAN; Composer: Nurak Ahdrakhmanov (b. 1947); Performer: Nurak Abdrakhmanov, Komuz"
9,5,3,Vol05-Tr03,Zohidi Pokizasirisht,https://islamicgarden.ualberta.ca/flask/assets/Vol05-Tr03.ogg,4,triggered,,"https://islamicgarden.ualberta.ca/flask/assets/Setar-Instrument.jpg , https://islamicgarden.ualberta.ca/flask/assets/Setar-Performer.png",https://drive.google.com/open?id=1fZqypCvds20BpFj5arqIf7hDobQghNhq,https://islamicgarden.ualberta.ca/flask/assets/GeneralDescription5-3.txt,https://islamicgarden.ualberta.ca/flask/assets/InstrumentsDescription5-3.txt,,,,https://drive.google.com/open?id=1-5W-qQA0b8-3GwX0hoL7ThJwwGi9MYb0,mp3 version!,Boyan,,,,,Zohidi Pokizasirisht (Pious Ascetic); Text: Hafiz; Music: Mukhtor Muborakqadamov (composed in 2000); Vocal solo: Aqnazar Alovatov
